,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name
803,1.55,3.02,4.46,18.010199,0.136,6003.0,1.18,0.98,-0.216,2,4,349.549,0.5966392621241042,1,Kepler-132 d
804,1.18,1.76,5.89,110.2869374,0.4393,6023.0,1.1,1.03,-0.13,2,4,349.549,0.7553944189328231,2,Kepler-132 e
805,1.7,3.53,3.95,0.86838653,0.0163,4817.0,0.74,0.8,0.1,1,1,647.424,0.5395895303969603,1,Kepler-1320 b
806,4.92,21.5,0.992,11.12830484,0.0781,4094.0,0.53,0.54,-0.45,1,3,769.146,0.2798496964756123,1,Kepler-1321 b
807,2.4,6.35,2.52,2.22649109,0.0267,4094.0,0.53,0.54,-0.45,1,3,769.146,0.39931064857793636,1,Kepler-1321 c
808,2.628,7.41,2.24,5.72092009,0.0501,3640.0,0.5,0.51,0.21,1,3,769.146,0.37413927057453117,1,Kepler-1321 d
809,1.61,3.22,4.24,0.96286738,0.0183,5488.0,0.87,0.9,-0.07,1,2,1350.32,0.5687819169095395,1,Kepler-1322 b
810,2.155,5.29,2.9,6.45998001,0.0652,5704.0,0.8,0.9,-0.3,1,2,1350.32,0.4374017358388144,1,Kepler-1322 c
811,1.51,2.89,4.61,4.11584468,0.0466,4776.0,0.73,0.78,0.05,1,1,481.667,0.6072822800157268,1,Kepler-1324 b
812,2.17,5.35,2.88,9.33646594,0.0747,4500.0,0.69,0.72,0.02,1,1,588.037,0.43607299134363814,1,Kepler-1329 b
813,1.05,1.16,5.51,0.78916165,0.0142,4508.0,0.69,0.72,0.05,1,1,319.197,0.7733015226003129,2,Kepler-1331 b
814,1.37,2.45,5.24,11.87456832,0.0986,5581.0,0.9,0.95,0.0,1,1,528.685,0.6743165888310414,1,Kepler-1332 b
815,1.45,2.7,4.87,6.26406846,0.0615,4903.0,0.74,0.77,-0.07,1,1,621.853,0.6340702163216897,1,Kepler-1335 b
816,2.41,6.39,2.51,24.4002549,0.1441,4523.0,0.67,0.7,-0.09,1,1,601.629,0.40586347398864603,1,Kepler-1337 b
817,0.71,0.285,4.38,1.34155513,0.0234,5586.0,0.93,0.94,0.01,1,1,371.049,0.6440258311402544,1,Kepler-1339 b
818,2.0,4.66,3.2,5.317429,0.06,5983.0,1.18,0.96,-0.207,1,2,334.797,0.4662338705162284,1,Kepler-134 b
819,1.26,2.13,5.85,10.105785,0.092,5983.0,1.18,0.96,-0.207,1,2,334.797,0.6964703150512443,1,Kepler-134 c
820,2.99,9.22,1.9,132.9968322,0.4498,4662.0,0.72,0.79,0.19,2,1,476.957,0.3951733964694544,1,Kepler-1341 b
821,1.03,1.08,5.43,14.00947528,0.104,5193.0,0.79,0.82,-0.11,1,1,321.0,0.7794317471715398,2,Kepler-1347 b
822,2.52,6.9,2.37,4.4968604,0.0413,3827.0,0.53,0.55,-0.06,1,2,340.691,0.3855819487441232,1,Kepler-1350 b
823,1.73,3.64,3.86,1.76678906,0.0222,3827.0,0.53,0.55,-0.06,1,2,340.691,0.5309313100492837,1,Kepler-1350 c
824,0.65,0.208,4.16,0.91614077,0.0156,4439.0,0.67,0.7,-0.03,1,1,202.782,0.6187296202877959,1,Kepler-1351 b
825,1.8,3.89,3.67,24.7543966,0.153,4776.0,0.72,0.76,-0.06,1,1,593.384,0.5197010939318067,1,Kepler-1353 b
826,1.46,2.73,4.82,1.28958811,0.0224,5352.0,0.83,0.88,-0.04,1,1,911.269,0.627586992013535,1,Kepler-1355 b
827,1.53,2.96,4.54,0.63400294,0.0136,5106.0,0.78,0.82,-0.02,1,1,845.228,0.5985683296102059,1,Kepler-1356 b
828,1.12,1.46,5.71,7.06317341,0.0656,5181.0,0.79,0.82,-0.08,1,1,546.998,0.7421121166523448,1,Kepler-1358 b
829,2.83,8.4,2.04,59.4970952,0.2769,4709.0,0.72,0.78,0.11,1,1,614.859,0.37536427229349706,1,Kepler-1359 b
830,0.86,0.566,4.89,3.57554956,0.0431,5131.0,0.79,0.83,0.0,1,1,389.143,0.7114779088310391,1,Kepler-1361 b
831,2.6,7.27,2.27,136.205626,0.4626,4857.0,0.74,0.8,0.06,1,1,731.298,0.43048857798565,1,Kepler-1362 b
832,1.25,2.1,5.91,2.94194094,0.0363,4839.0,0.72,0.76,-0.09,1,1,541.714,0.6932108142467065,1,Kepler-1363 b
833,0.92,0.721,5.09,7.69993485,0.075,5770.0,1.05,1.0,0.03,1,2,840.128,0.7418137108950824,1,Kepler-1365 b
834,0.8,0.437,4.69,4.77468005,0.0545,5770.0,1.05,1.0,0.03,1,2,840.128,0.6843915824506736,1,Kepler-1365 c
835,1.43,2.63,4.94,2.16457097,0.0273,4070.0,0.6,0.62,-0.02,1,1,465.826,0.6407659416283433,1,Kepler-1366 b
836,0.92,0.721,5.09,1.57409027,0.0236,4106.0,0.6,0.62,-0.06,1,1,401.484,0.7397307617535259,1,Kepler-1367 b
837,1.47,2.76,4.77,8.436387,0.077,5187.0,0.8,0.91,-0.02,1,2,302.979,0.625268112552944,1,Kepler-137 b
838,1.88,4.19,3.47,18.735753,0.13,5187.0,0.8,0.91,-0.02,1,2,302.979,0.49753224681195524,1,Kepler-137 c
839,0.73,0.315,4.45,3.4462039,0.0393,5361.0,0.83,0.87,-0.07,1,2,515.334,0.6532472509468951,1,Kepler-1371 b
840,0.64,0.196,4.11,2.00541269,0.0274,5361.0,0.83,0.87,-0.07,1,2,515.334,0.6144027395198489,1,Kepler-1371 c
841,2.29,5.86,2.68,10.65276707,0.0918,5323.0,0.81,0.85,-0.13,1,1,1078.46,0.4174561368503158,1,Kepler-1374 b
842,2.2,5.48,2.83,11.95398936,0.0885,4407.0,0.67,0.7,0.03,1,1,506.434,0.4320519522030348,1,Kepler-1378 b
843,1.3,2.24,5.6,0.88184115,0.0171,5188.0,0.79,0.83,-0.04,1,1,971.325,0.6977952205265646,1,Kepler-1379 b
844,0.64,0.07,1.7,10.3134,0.0753,3841.0,0.54,0.54,-0.18,1,4,66.8624,0.5256435753423316,1,Kepler-138 b
845,1.51,2.3,3.6,13.7815,0.0913,3841.0,0.54,0.54,-0.18,1,4,66.8624,0.5631930027821102,1,Kepler-138 c
846,1.51,2.1,3.6,23.0923,0.1288,3841.0,0.54,0.54,-0.18,1,4,66.8624,0.5664808746712651,1,Kepler-138 d
847,0.797,0.43,4.67,38.23,0.1803,3841.0,0.54,0.54,-0.18,1,4,66.8624,0.6944506548200068,1,Kepler-138 e
848,1.94,4.42,3.33,15.36262753,0.1126,4919.0,0.74,0.78,-0.06,1,1,618.0,0.4825188850924061,1,Kepler-1384 b
849,0.93,0.749,5.12,2.27952666,0.031,5046.0,0.77,0.82,0.02,1,1,455.358,0.7447476139300465,1,Kepler-1387 b
850,2.59,7.22,2.28,12.2854603,0.0882,4098.0,0.61,0.63,0.02,1,4,453.795,0.38027443682922285,1,Kepler-1388 b
851,2.26,5.73,2.73,5.53608151,0.0519,4098.0,0.61,0.63,0.02,1,4,453.795,0.42031227144990696,1,Kepler-1388 c
852,2.86,8.55,2.01,20.9568158,0.126,4098.0,0.61,0.63,0.02,1,4,453.795,0.35836731514672887,1,Kepler-1388 d
853,2.46,6.62,2.44,37.6327084,0.1861,4098.0,0.61,0.63,0.02,1,4,453.795,0.4042897992847503,1,Kepler-1388 e
